rank	form	normalized_form	combined_count	source_count	source_counts_json
1	der	der	1392512	3	{"deu_news_2024_1M_words.txt":449315,"deu_wikipedia_2021_1M_words.txt":499367,"deu-de_web_2021_1M_words.txt":443830}
2	und	und	1259901	3	{"deu_news_2024_1M_words.txt":338359,"deu_wikipedia_2021_1M_words.txt":414859,"deu-de_web_2021_1M_words.txt":506683}
3	die	die	1229759	3	{"deu_news_2024_1M_words.txt":422877,"deu_wikipedia_2021_1M_words.txt":384634,"deu-de_web_2021_1M_words.txt":422248}
4	in	in	773005	3	{"deu_news_2024_1M_words.txt":267934,"deu_wikipedia_2021_1M_words.txt":261977,"deu-de_web_2021_1M_words.txt":243094}
5	den	den	499570	3	{"deu_news_2024_1M_words.txt":171693,"deu_wikipedia_2021_1M_words.txt":168881,"deu-de_web_2021_1M_words.txt":158996}
6	von	von	459846	3	{"deu_news_2024_1M_words.txt":138140,"deu_wikipedia_2021_1M_words.txt":182248,"deu-de_web_2021_1M_words.txt":139458}
7	zu	zu	419611	3	{"deu_news_2024_1M_words.txt":139856,"deu_wikipedia_2021_1M_words.txt":122427,"deu-de_web_2021_1M_words.txt":157328}
8	mit	mit	417073	3	{"deu_news_2024_1M_words.txt":138407,"deu_wikipedia_2021_1M_words.txt":137259,"deu-de_web_2021_1M_words.txt":141407}
9	ist	ist	378366	3	{"deu_news_2024_1M_words.txt":128593,"deu_wikipedia_2021_1M_words.txt":106069,"deu-de_web_2021_1M_words.txt":143704}
10	das	das	370404	3	{"deu_news_2024_1M_words.txt":135673,"deu_wikipedia_2021_1M_words.txt":112992,"deu-de_web_2021_1M_words.txt":121739}
11	für	für	369947	3	{"deu_news_2024_1M_words.txt":118815,"deu_wikipedia_2021_1M_words.txt":88656,"deu-de_web_2021_1M_words.txt":162476}
12	im	im	369241	3	{"deu_news_2024_1M_words.txt":127260,"deu_wikipedia_2021_1M_words.txt":123900,"deu-de_web_2021_1M_words.txt":118081}
13	Die	die	359707	3	{"deu_news_2024_1M_words.txt":111999,"deu_wikipedia_2021_1M_words.txt":132599,"deu-de_web_2021_1M_words.txt":115109}
14	des	des	337745	3	{"deu_news_2024_1M_words.txt":87121,"deu_wikipedia_2021_1M_words.txt":141185,"deu-de_web_2021_1M_words.txt":109439}
15	auf	auf	335781	3	{"deu_news_2024_1M_words.txt":124981,"deu_wikipedia_2021_1M_words.txt":103249,"deu-de_web_2021_1M_words.txt":107551}
16	sich	sich	326161	3	{"deu_news_2024_1M_words.txt":115363,"deu_wikipedia_2021_1M_words.txt":108202,"deu-de_web_2021_1M_words.txt":102596}
17	eine	eine	285643	3	{"deu_news_2024_1M_words.txt":92374,"deu_wikipedia_2021_1M_words.txt":93205,"deu-de_web_2021_1M_words.txt":100064}
18	dem	dem	280968	3	{"deu_news_2024_1M_words.txt":97846,"deu_wikipedia_2021_1M_words.txt":103765,"deu-de_web_2021_1M_words.txt":79357}
19	ein	ein	274280	3	{"deu_news_2024_1M_words.txt":100864,"deu_wikipedia_2021_1M_words.txt":84133,"deu-de_web_2021_1M_words.txt":89283}
20	auch	auch	229466	3	{"deu_news_2024_1M_words.txt":83744,"deu_wikipedia_2021_1M_words.txt":65338,"deu-de_web_2021_1M_words.txt":80384}
21	als	als	226501	3	{"deu_news_2024_1M_words.txt":66266,"deu_wikipedia_2021_1M_words.txt":101883,"deu-de_web_2021_1M_words.txt":58352}
22	nicht	nicht	222745	3	{"deu_news_2024_1M_words.txt":94483,"deu_wikipedia_2021_1M_words.txt":55332,"deu-de_web_2021_1M_words.txt":72930}
23	an	an	221421	3	{"deu_news_2024_1M_words.txt":70833,"deu_wikipedia_2021_1M_words.txt":71067,"deu-de_web_2021_1M_words.txt":79521}
24	werden	werden	211518	3	{"deu_news_2024_1M_words.txt":56599,"deu_wikipedia_2021_1M_words.txt":53451,"deu-de_web_2021_1M_words.txt":101468}
25	es	es	208162	3	{"deu_news_2024_1M_words.txt":97579,"deu_wikipedia_2021_1M_words.txt":45580,"deu-de_web_2021_1M_words.txt":65003}
26	Sie	sie	177552	3	{"deu_news_2024_1M_words.txt":28332,"deu_wikipedia_2021_1M_words.txt":24327,"deu-de_web_2021_1M_words.txt":124893}
27	aus	aus	171122	3	{"deu_news_2024_1M_words.txt":58974,"deu_wikipedia_2021_1M_words.txt":61297,"deu-de_web_2021_1M_words.txt":50851}
28	sind	sind	170796	3	{"deu_news_2024_1M_words.txt":49149,"deu_wikipedia_2021_1M_words.txt":45599,"deu-de_web_2021_1M_words.txt":76048}
29	er	er	167942	3	{"deu_news_2024_1M_words.txt":49449,"deu_wikipedia_2021_1M_words.txt":101417,"deu-de_web_2021_1M_words.txt":17076}
30	wurde	wurde	166471	3	{"deu_news_2024_1M_words.txt":31885,"deu_wikipedia_2021_1M_words.txt":115394,"deu-de_web_2021_1M_words.txt":19192}
31	bei	bei	166320	3	{"deu_news_2024_1M_words.txt":61250,"deu_wikipedia_2021_1M_words.txt":46104,"deu-de_web_2021_1M_words.txt":58966}
32	Der	der	156876	3	{"deu_news_2024_1M_words.txt":59674,"deu_wikipedia_2021_1M_words.txt":56710,"deu-de_web_2021_1M_words.txt":40492}
33	sie	sie	151514	3	{"deu_news_2024_1M_words.txt":53172,"deu_wikipedia_2021_1M_words.txt":58296,"deu-de_web_2021_1M_words.txt":40046}
34	wird	wird	150765	3	{"deu_news_2024_1M_words.txt":49046,"deu_wikipedia_2021_1M_words.txt":46570,"deu-de_web_2021_1M_words.txt":55149}
35	einer	einer	149352	3	{"deu_news_2024_1M_words.txt":48904,"deu_wikipedia_2021_1M_words.txt":51967,"deu-de_web_2021_1M_words.txt":48481}
36	nach	nach	147774	3	{"deu_news_2024_1M_words.txt":51770,"deu_wikipedia_2021_1M_words.txt":54359,"deu-de_web_2021_1M_words.txt":41645}
37	am	am	146440	3	{"deu_news_2024_1M_words.txt":64645,"deu_wikipedia_2021_1M_words.txt":49083,"deu-de_web_2021_1M_words.txt":32712}
38	oder	oder	143491	3	{"deu_news_2024_1M_words.txt":32947,"deu_wikipedia_2021_1M_words.txt":31388,"deu-de_web_2021_1M_words.txt":79156}
39	Das	das	143024	3	{"deu_news_2024_1M_words.txt":52089,"deu_wikipedia_2021_1M_words.txt":42544,"deu-de_web_2021_1M_words.txt":48391}
40	dass	dass	142018	3	{"deu_news_2024_1M_words.txt":59620,"deu_wikipedia_2021_1M_words.txt":40885,"deu-de_web_2021_1M_words.txt":41513}
41	einem	einem	130955	3	{"deu_news_2024_1M_words.txt":51436,"deu_wikipedia_2021_1M_words.txt":42909,"deu-de_web_2021_1M_words.txt":36610}
42	einen	einen	129283	3	{"deu_news_2024_1M_words.txt":47587,"deu_wikipedia_2021_1M_words.txt":38476,"deu-de_web_2021_1M_words.txt":43220}
43	war	war	128164	3	{"deu_news_2024_1M_words.txt":40576,"deu_wikipedia_2021_1M_words.txt":72486,"deu-de_web_2021_1M_words.txt":15102}
44	um	um	125768	3	{"deu_news_2024_1M_words.txt":50317,"deu_wikipedia_2021_1M_words.txt":35705,"deu-de_web_2021_1M_words.txt":39746}
45	zum	zum	125411	3	{"deu_news_2024_1M_words.txt":37167,"deu_wikipedia_2021_1M_words.txt":41531,"deu-de_web_2021_1M_words.txt":46713}
46	hat	hat	123983	3	{"deu_news_2024_1M_words.txt":60471,"deu_wikipedia_2021_1M_words.txt":25623,"deu-de_web_2021_1M_words.txt":37889}
47	über	über	121191	3	{"deu_news_2024_1M_words.txt":37036,"deu_wikipedia_2021_1M_words.txt":35808,"deu-de_web_2021_1M_words.txt":48347}
48	bis	bis	115692	3	{"deu_news_2024_1M_words.txt":28714,"deu_wikipedia_2021_1M_words.txt":58509,"deu-de_web_2021_1M_words.txt":28469}
49	wie	wie	110675	3	{"deu_news_2024_1M_words.txt":46680,"deu_wikipedia_2021_1M_words.txt":22321,"deu-de_web_2021_1M_words.txt":41674}
50	zur	zur	107948	3	{"deu_news_2024_1M_words.txt":24632,"deu_wikipedia_2021_1M_words.txt":33583,"deu-de_web_2021_1M_words.txt":49733}
51	In	in	103589	3	{"deu_news_2024_1M_words.txt":30402,"deu_wikipedia_2021_1M_words.txt":43917,"deu-de_web_2021_1M_words.txt":29270}
52	vor	vor	99807	3	{"deu_news_2024_1M_words.txt":43605,"deu_wikipedia_2021_1M_words.txt":25485,"deu-de_web_2021_1M_words.txt":30717}
53	durch	durch	97749	3	{"deu_news_2024_1M_words.txt":21304,"deu_wikipedia_2021_1M_words.txt":40626,"deu-de_web_2021_1M_words.txt":35819}
54	noch	noch	94814	3	{"deu_news_2024_1M_words.txt":43898,"deu_wikipedia_2021_1M_words.txt":27237,"deu-de_web_2021_1M_words.txt":23679}
55	haben	haben	91538	3	{"deu_news_2024_1M_words.txt":39693,"deu_wikipedia_2021_1M_words.txt":13004,"deu-de_web_2021_1M_words.txt":38841}
56	nur	nur	88292	3	{"deu_news_2024_1M_words.txt":30526,"deu_wikipedia_2021_1M_words.txt":29412,"deu-de_web_2021_1M_words.txt":28354}
57	können	können	87794	3	{"deu_news_2024_1M_words.txt":20198,"deu_wikipedia_2021_1M_words.txt":11940,"deu-de_web_2021_1M_words.txt":55656}
58	aber	aber	81520	3	{"deu_news_2024_1M_words.txt":36840,"deu_wikipedia_2021_1M_words.txt":24318,"deu-de_web_2021_1M_words.txt":20362}
59	kann	kann	79438	3	{"deu_news_2024_1M_words.txt":23225,"deu_wikipedia_2021_1M_words.txt":16659,"deu-de_web_2021_1M_words.txt":39554}
60	Im	im	79261	3	{"deu_news_2024_1M_words.txt":19482,"deu_wikipedia_2021_1M_words.txt":40075,"deu-de_web_2021_1M_words.txt":19704}
61	so	so	71460	3	{"deu_news_2024_1M_words.txt":31895,"deu_wikipedia_2021_1M_words.txt":16605,"deu-de_web_2021_1M_words.txt":22960}
62	mehr	mehr	70601	3	{"deu_news_2024_1M_words.txt":32179,"deu_wikipedia_2021_1M_words.txt":16881,"deu-de_web_2021_1M_words.txt":21541}
63	sein	sein	66294	3	{"deu_news_2024_1M_words.txt":27537,"deu_wikipedia_2021_1M_words.txt":19712,"deu-de_web_2021_1M_words.txt":19045}
64	wir	wir	65443	3	{"deu_news_2024_1M_words.txt":21956,"deu_wikipedia_2021_1M_words.txt":1139,"deu-de_web_2021_1M_words.txt":42348}
65	wurden	wurden	63894	3	{"deu_news_2024_1M_words.txt":14300,"deu_wikipedia_2021_1M_words.txt":38290,"deu-de_web_2021_1M_words.txt":11304}
66	Es	es	63127	3	{"deu_news_2024_1M_words.txt":24639,"deu_wikipedia_2021_1M_words.txt":19893,"deu-de_web_2021_1M_words.txt":18595}
67	unter	unter	60724	3	{"deu_news_2024_1M_words.txt":19905,"deu_wikipedia_2021_1M_words.txt":21526,"deu-de_web_2021_1M_words.txt":19293}
68	Jahr	jahr	60255	3	{"deu_news_2024_1M_words.txt":19598,"deu_wikipedia_2021_1M_words.txt":27262,"deu-de_web_2021_1M_words.txt":13395}
69	man	man	59168	3	{"deu_news_2024_1M_words.txt":27669,"deu_wikipedia_2021_1M_words.txt":13729,"deu-de_web_2021_1M_words.txt":17770}
70	vom	vom	53709	3	{"deu_news_2024_1M_words.txt":16420,"deu_wikipedia_2021_1M_words.txt":20505,"deu-de_web_2021_1M_words.txt":16784}
71	Er	er	52813	3	{"deu_news_2024_1M_words.txt":15080,"deu_wikipedia_2021_1M_words.txt":31127,"deu-de_web_2021_1M_words.txt":6606}
72	wieder	wieder	51891	3	{"deu_news_2024_1M_words.txt":21750,"deu_wikipedia_2021_1M_words.txt":17979,"deu-de_web_2021_1M_words.txt":12162}
73	sowie	sowie	51531	3	{"deu_news_2024_1M_words.txt":10472,"deu_wikipedia_2021_1M_words.txt":15775,"deu-de_web_2021_1M_words.txt":25284}
74	gibt	gibt	50216	3	{"deu_news_2024_1M_words.txt":19480,"deu_wikipedia_2021_1M_words.txt":11238,"deu-de_web_2021_1M_words.txt":19498}
75	diese	diese	50153	3	{"deu_news_2024_1M_words.txt":14219,"deu_wikipedia_2021_1M_words.txt":15356,"deu-de_web_2021_1M_words.txt":20578}
76	dieser	dieser	49576	3	{"deu_news_2024_1M_words.txt":12230,"deu_wikipedia_2021_1M_words.txt":20914,"deu-de_web_2021_1M_words.txt":16432}
77	zwei	zwei	49077	3	{"deu_news_2024_1M_words.txt":17727,"deu_wikipedia_2021_1M_words.txt":21812,"deu-de_web_2021_1M_words.txt":9538}
78	hatte	hatte	48645	3	{"deu_news_2024_1M_words.txt":21993,"deu_wikipedia_2021_1M_words.txt":22411,"deu-de_web_2021_1M_words.txt":4241}
79	Jahren	jahren	48245	3	{"deu_news_2024_1M_words.txt":17098,"deu_wikipedia_2021_1M_words.txt":19262,"deu-de_web_2021_1M_words.txt":11885}
80	eines	eines	47818	3	{"deu_news_2024_1M_words.txt":13180,"deu_wikipedia_2021_1M_words.txt":17874,"deu-de_web_2021_1M_words.txt":16764}
81	gegen	gegen	47442	3	{"deu_news_2024_1M_words.txt":27504,"deu_wikipedia_2021_1M_words.txt":12297,"deu-de_web_2021_1M_words.txt":7641}
82	seine	seine	47366	3	{"deu_news_2024_1M_words.txt":16194,"deu_wikipedia_2021_1M_words.txt":23807,"deu-de_web_2021_1M_words.txt":7365}
83	ihre	ihre	46845	3	{"deu_news_2024_1M_words.txt":16607,"deu_wikipedia_2021_1M_words.txt":14605,"deu-de_web_2021_1M_words.txt":15633}
84	Mit	mit	43968	3	{"deu_news_2024_1M_words.txt":14210,"deu_wikipedia_2021_1M_words.txt":12158,"deu-de_web_2021_1M_words.txt":17600}
85	seiner	seiner	43927	3	{"deu_news_2024_1M_words.txt":13056,"deu_wikipedia_2021_1M_words.txt":24620,"deu-de_web_2021_1M_words.txt":6251}
86	Menschen	menschen	43395	3	{"deu_news_2024_1M_words.txt":16423,"deu_wikipedia_2021_1M_words.txt":6600,"deu-de_web_2021_1M_words.txt":20372}
